Model,Corruption,Method,Accuracy,Balanced_Acc,MCC,F1_macro
YorubaNet,Gaussian Blur (σ=2),TENT_lr=0.0001,0.4425974025974026,0.44259740259740254,0.42794240743163064,0.4387009166050045
YorubaNet,Salt-Pepper Noise (5%),TENT_lr=0.0001,0.32051948051948054,0.3205194805194805,0.30222518089199585,0.32883031607592067
YorubaNet,Thinning (threshold=0.3),TENT_lr=0.0001,0.4202597402597403,0.4202597402597403,0.40491448344869296,0.41865421136925846
YorubaNet,Gaussian Blur (σ=2),TENT_lr=0.001,0.4503896103896104,0.4503896103896104,0.4358915546597489,0.4458648098483639
YorubaNet,Salt-Pepper Noise (5%),TENT_lr=0.001,0.332987013,0.332987013,0.3149418684915095,0.33656497225600646
YorubaNet,Thinning (threshold=0.3),TENT_lr=0.001,0.43064935064935067,0.4306493506493506,0.415546202,0.4286305814501932
YorubaNet,Gaussian Blur (σ=2),TENT_lr=0.01,0.4597402597402597,0.4597402597402597,0.4457483755420242,0.4551194187844927
YorubaNet,Salt-Pepper Noise (5%),TENT_lr=0.01,0.27324675324675324,0.2732467532467533,0.254322663,0.26251349870742124
YorubaNet,Thinning (threshold=0.3),TENT_lr=0.01,0.4503896103896104,0.45038961038961034,0.4360922955838578,0.44676564884993636
ResNet18,Gaussian Blur (σ=2),TENT_lr=0.0001,0.5366233766233767,0.5366233766233766,0.5235097261086444,0.5331069758404035
ResNet18,Salt-Pepper Noise (5%),TENT_lr=0.0001,0.5407792207792208,0.5407792207792208,0.5278550490854196,0.536174605
ResNet18,Thinning (threshold=0.3),TENT_lr=0.0001,0.535064935,0.535064935,0.5219147635753277,0.531945567
ResNet18,Gaussian Blur (σ=2),TENT_lr=0.001,0.5361038961038961,0.5361038961038961,0.5230508795567629,0.5314858855984346
ResNet18,Salt-Pepper Noise (5%),TENT_lr=0.001,0.5355844155844156,0.5355844155844155,0.5225543632847046,0.5310453086324777
ResNet18,Thinning (threshold=0.3),TENT_lr=0.001,0.5314285714285715,0.5314285714285714,0.5182719967302899,0.5273568233493803
ResNet18,Gaussian Blur (σ=2),TENT_lr=0.01,0.47324675324675325,0.4732467532467532,0.4598189065827986,0.4657838765405474
ResNet18,Salt-Pepper Noise (5%),TENT_lr=0.01,0.48883116883116884,0.4888311688311687,0.4751648225098616,0.4820967375212906
ResNet18,Thinning (threshold=0.3),TENT_lr=0.01,0.478961039,0.4789610389610389,0.4658723779801592,0.4693606309622725
YorubaNet,Gaussian Blur (σ=2),TENT_steps=1,0.4503896103896104,0.4503896103896104,0.4358915546597489,0.4458648098483639
YorubaNet,Salt-Pepper Noise (5%),TENT_steps=1,0.33194805194805194,0.33194805194805194,0.3139367553162091,0.33776871154897586
YorubaNet,Thinning (threshold=0.3),TENT_steps=1,0.43064935064935067,0.4306493506493506,0.415546202,0.4286305814501932
YorubaNet,Gaussian Blur (σ=2),TENT_steps=3,0.4581818181818182,0.45818181818181825,0.44398985174802097,0.4530026903752495
YorubaNet,Salt-Pepper Noise (5%),TENT_steps=3,0.3433766233766234,0.34337662337662334,0.32567675649546063,0.34859291106001333
YorubaNet,Thinning (threshold=0.3),TENT_steps=3,0.4514285714285714,0.4514285714285714,0.4368999964437712,0.4499817220545867
YorubaNet,Gaussian Blur (σ=2),TENT_steps=5,0.4633766233766234,0.4633766233766234,0.4493280873462511,0.45880710020396165
YorubaNet,Salt-Pepper Noise (5%),TENT_steps=5,0.3464935064935065,0.3464935064935064,0.32908026228918935,0.34907198878162116
YorubaNet,Thinning (threshold=0.3),TENT_steps=5,0.45766233766233766,0.4576623376623376,0.4433293687105502,0.45584647359289787
ResNet18,Gaussian Blur (σ=2),TENT_steps=1,0.5361038961038961,0.5361038961038961,0.5230508795567629,0.5314858855984346
ResNet18,Salt-Pepper Noise (5%),TENT_steps=1,0.5340259740259741,0.5340259740259741,0.521005172,0.5295433217072498
ResNet18,Thinning (threshold=0.3),TENT_steps=1,0.5314285714285715,0.5314285714285714,0.5182719967302899,0.5273568233493803
ResNet18,Gaussian Blur (σ=2),TENT_steps=3,0.5298701298701298,0.5298701298701299,0.516841255,0.5251048951380751
ResNet18,Salt-Pepper Noise (5%),TENT_steps=3,0.5355844155844156,0.5355844155844155,0.5227000840297702,0.5303560971159311
ResNet18,Thinning (threshold=0.3),TENT_steps=3,0.531948052,0.531948052,0.5189643688075606,0.5278719534358438
ResNet18,Gaussian Blur (σ=2),TENT_steps=5,0.5246753246753246,0.5246753246753247,0.5118083786942047,0.5204509772904683
ResNet18,Salt-Pepper Noise (5%),TENT_steps=5,0.5293506493506493,0.5293506493506493,0.5163743088723477,0.5266473214152732
ResNet18,Thinning (threshold=0.3),TENT_steps=5,0.531948052,0.531948052,0.5192691700872211,0.5273625903290837
YorubaNet,Gaussian Blur (σ=2),BN_mom=0.05,0.6903896103896104,0.6903896103896106,0.6818401457069384,0.6923121188268211
YorubaNet,Salt-Pepper Noise (5%),BN_mom=0.05,0.15324675324675324,0.15324675324675324,0.13276938771013458,0.11863391376012904
YorubaNet,Thinning (threshold=0.3),BN_mom=0.05,0.4109090909090909,0.41090909090909084,0.39715607215264664,0.39039219132978165
YorubaNet,Gaussian Blur (σ=2),BN_mom=0.1,0.6748051948051949,0.6748051948051949,0.6660359747046937,0.6755321692139682
YorubaNet,Salt-Pepper Noise (5%),BN_mom=0.1,0.18857142857142858,0.18857142857142858,0.16920877559182926,0.16964109067105299
YorubaNet,Thinning (threshold=0.3),BN_mom=0.1,0.44727272727272727,0.4472727272727272,0.43452070633260503,0.4322063002491264
YorubaNet,Gaussian Blur (σ=2),BN_mom=0.2,0.6644155844155845,0.6644155844155846,0.6550411423473854,0.6661275627728839
YorubaNet,Salt-Pepper Noise (5%),BN_mom=0.2,0.3314285714285714,0.3314285714285714,0.3163150802923296,0.3320508339918232
YorubaNet,Thinning (threshold=0.3),BN_mom=0.2,0.5672727272727273,0.5672727272727274,0.5566495373834485,0.5597505691702558
YorubaNet,Gaussian Blur (σ=2),BN_mom=0.5,0.5688311688311688,0.5688311688311688,0.5571428652644733,0.5715692325979731
