0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
16,0,13,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,24,6,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,24,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0
6,36,2,0,0,1,0,0,0,0,0,0,2,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,0,1,0,2,7,0,0,3,0,11,6,0,8,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,6,34,0,0,9,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,13,0,0,0,0,0,32,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,19,0,0,0,0,1,0,0,0,0,0,20,2,1,0,0,0,0,5,1,0,0,0,3,0,0,0
0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,23,0,0,0,0,0,0,0,0,8,0,0,0,0
1,0,0,0,0,0,0,18,0,0,5,0,12,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,23,8,0,0,0,0,3,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,45,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
12,8,0,0,0,0,0,0,0,0,0,0,21,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,5,0,0,0,0,16,23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,14,0,0,32,1,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,12,3,0,0,0,1,14,0,0,0,0,3,10,6,0,0,0,0,0,1,0,0,0,0,4,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,25,2,18,0,0,0,0,0,0,0,0,3,1,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,2,36,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,9,0,0,0
4,3,16,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2,1,9,0,0,0
28,6,2,2,0,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,23,0,0,0,12,5,0,0,0
0,0,0,0,0,0,0,5,10,0,0,1,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0
1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,2,27,0,0,0
29,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
0,4,5,0,0,17,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,6,0,12
1,17,1,0,0,3,16,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11
0,24,11,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
