Model,Corruption,TTA,Class,Precision,Recall,F1,Specificity,Jaccard
YorubaNet,Clean,No,a,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.9919786096256684,0.5714285714285714
YorubaNet,Clean,No,b,0.5490196078431373,0.509090909090909,0.5283018867924528,0.9877005347593583,0.358974358974359
YorubaNet,Clean,No,d,0.6730769230769231,0.6363636363636364,0.6542056074766355,0.990909090909091,0.4861111111111111
YorubaNet,Clean,No,e,0.75,0.7636363636363637,0.7567567567567568,0.9925133689839573,0.6086956521739131
YorubaNet,Clean,No,f,0.8679245283018868,0.8363636363636363,0.8518518518518519,0.9962566844919786,0.7419354838709677
YorubaNet,Clean,No,g,0.7435897435897436,0.5272727272727272,0.6170212765957447,0.9946524064171123,0.4461538461538462
YorubaNet,Clean,No,gb,0.8253968253968254,0.9454545454545454,0.8813559322033898,0.9941176470588236,0.7878787878787878
YorubaNet,Clean,No,h,0.671875,0.7818181818181819,0.7226890756302521,0.9887700534759358,0.5657894736842105
YorubaNet,Clean,No,i,0.5901639344262295,0.6545454545454545,0.6206896551724138,0.9866310160427807,0.45
YorubaNet,Clean,No,j,0.9166666666666666,0.8,0.8543689320388349,0.9978609625668449,0.7457627118644068
YorubaNet,Clean,No,k,0.7540983606557377,0.8363636363636363,0.7931034482758621,0.9919786096256684,0.6571428571428571
YorubaNet,Clean,No,l,0.8166666666666667,0.8909090909090909,0.8521739130434782,0.9941176470588236,0.7424242424242424
YorubaNet,Clean,No,m,0.8367346938775511,0.7454545454545455,0.7884615384615384,0.9957219251336898,0.6507936507936508
YorubaNet,Clean,No,n,0.6290322580645161,0.7090909090909091,0.6666666666666666,0.9877005347593583,0.5
YorubaNet,Clean,No,o,0.6875,0.8,0.7394957983193278,0.9893048128342246,0.5866666666666667
YorubaNet,Clean,No,p,0.88,0.8,0.8380952380952381,0.9967914438502674,0.7213114754098361
YorubaNet,Clean,No,r,0.7777777777777778,0.7636363636363637,0.7706422018348624,0.9935828877005347,0.6268656716417911
YorubaNet,Clean,No,s,0.9019607843137255,0.8363636363636363,0.8679245283018868,0.9973262032085561,0.7666666666666667
YorubaNet,Clean,No,t,0.7377049180327869,0.8181818181818182,0.7758620689655172,0.9914438502673797,0.6338028169014085
YorubaNet,Clean,No,u,0.8245614035087719,0.8545454545454545,0.8392857142857143,0.9946524064171123,0.7230769230769231
YorubaNet,Clean,No,w,0.7777777777777778,0.8909090909090909,0.8305084745762712,0.9925133689839573,0.7101449275362319
YorubaNet,Clean,No,y,0.8269230769230769,0.7818181818181819,0.8037383177570093,0.9951871657754011,0.671875
YorubaNet,Clean,No,à,0.8863636363636364,0.7090909090909091,0.7878787878787878,0.9973262032085561,0.65
YorubaNet,Clean,No,á,0.8979591836734694,0.8,0.8461538461538461,0.9973262032085561,0.7333333333333333
YorubaNet,Clean,No,è,0.9583333333333334,0.8363636363636363,0.8932038834951457,0.9989304812834224,0.8070175438596491
YorubaNet,Clean,No,é,0.9230769230769231,0.8727272727272727,0.897196261682243,0.9978609625668449,0.8135593220338984
YorubaNet,Clean,No,ì,0.7258064516129032,0.8181818181818182,0.7692307692307693,0.990909090909091,0.625
YorubaNet,Clean,No,í,0.9130434782608695,0.7636363636363637,0.8316831683168316,0.9978609625668449,0.711864406779661
YorubaNet,Clean,No,ò,0.8135593220338984,0.8727272727272727,0.8421052631578947,0.9941176470588236,0.7272727272727273
YorubaNet,Clean,No,ó,0.8571428571428571,0.8727272727272727,0.8648648648648649,0.9957219251336898,0.7619047619047619
YorubaNet,Clean,No,ù,0.875,0.8909090909090909,0.8828828828828829,0.9962566844919786,0.7903225806451613
YorubaNet,Clean,No,ú,0.7333333333333333,0.8,0.7652173913043478,0.9914438502673797,0.6197183098591549
YorubaNet,Clean,No,ṣ,0.9411764705882353,0.8727272727272727,0.9056603773584906,0.9983957219251337,0.8275862068965517
YorubaNet,Clean,No,ẹ,0.875,0.8909090909090909,0.8828828828828829,0.9962566844919786,0.7903225806451613
YorubaNet,Clean,No,ọ,0.75,0.8181818181818182,0.782608695652174,0.9919786096256684,0.6428571428571429
YorubaNet,Gaussian Blur (σ=2),No,a,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.9919786096256684,0.5714285714285714
YorubaNet,Gaussian Blur (σ=2),No,b,0.56,0.509090909090909,0.5333333333333333,0.9882352941176471,0.36363636363636365
YorubaNet,Gaussian Blur (σ=2),No,d,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.9898395721925134,0.4864864864864865
YorubaNet,Gaussian Blur (σ=2),No,e,0.75,0.7636363636363637,0.7567567567567568,0.9925133689839573,0.6086956521739131
YorubaNet,Gaussian Blur (σ=2),No,f,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.9957219251336898,0.746031746031746
YorubaNet,Gaussian Blur (σ=2),No,g,0.7317073170731707,0.5454545454545454,0.625,0.9941176470588236,0.45454545454545453
YorubaNet,Gaussian Blur (σ=2),No,gb,0.8253968253968254,0.9454545454545454,0.8813559322033898,0.9941176470588236,0.7878787878787878
YorubaNet,Gaussian Blur (σ=2),No,h,0.7076923076923077,0.8363636363636363,0.7666666666666667,0.9898395721925134,0.6216216216216216
YorubaNet,Gaussian Blur (σ=2),No,i,0.5967741935483871,0.6727272727272727,0.6324786324786325,0.9866310160427807,0.4625
YorubaNet,Gaussian Blur (σ=2),No,j,0.9148936170212766,0.7818181818181819,0.8431372549019608,0.9978609625668449,0.7288135593220338
YorubaNet,Gaussian Blur (σ=2),No,k,0.7666666666666667,0.8363636363636363,0.8,0.9925133689839573,0.6666666666666666
YorubaNet,Gaussian Blur (σ=2),No,l,0.8135593220338984,0.8727272727272727,0.8421052631578947,0.9941176470588236,0.7272727272727273
YorubaNet,Gaussian Blur (σ=2),No,m,0.8431372549019608,0.7818181818181819,0.8113207547169812,0.9957219251336898,0.6825396825396826
YorubaNet,Gaussian Blur (σ=2),No,n,0.6451612903225806,0.7272727272727273,0.6837606837606838,0.9882352941176471,0.5194805194805194
YorubaNet,Gaussian Blur (σ=2),No,o,0.7213114754098361,0.8,0.7586206896551724,0.990909090909091,0.6111111111111112
YorubaNet,Gaussian Blur (σ=2),No,p,0.8627450980392157,0.8,0.8301886792452831,0.9962566844919786,0.7096774193548387
YorubaNet,Gaussian Blur (σ=2),No,r,0.82,0.7454545454545455,0.780952380952381,0.9951871657754011,0.640625
YorubaNet,Gaussian Blur (σ=2),No,s,0.92,0.8363636363636363,0.8761904761904762,0.9978609625668449,0.7796610169491526
YorubaNet,Gaussian Blur (σ=2),No,t,0.7377049180327869,0.8181818181818182,0.7758620689655172,0.9914438502673797,0.6338028169014085
YorubaNet,Gaussian Blur (σ=2),No,u,0.8245614035087719,0.8545454545454545,0.8392857142857143,0.9946524064171123,0.7230769230769231
YorubaNet,Gaussian Blur (σ=2),No,w,0.765625,0.8909090909090909,0.8235294117647058,0.9919786096256684,0.7
YorubaNet,Gaussian Blur (σ=2),No,y,0.8,0.8,0.8,0.9941176470588236,0.6666666666666666
YorubaNet,Gaussian Blur (σ=2),No,à,0.8604651162790697,0.6727272727272727,0.7551020408163265,0.9967914438502674,0.6065573770491803
YorubaNet,Gaussian Blur (σ=2),No,á,0.8958333333333334,0.7818181818181819,0.8349514563106796,0.9973262032085561,0.7166666666666667
YorubaNet,Gaussian Blur (σ=2),No,è,0.9591836734693877,0.8545454545454545,0.9038461538461539,0.9989304812834224,0.8245614035087719
YorubaNet,Gaussian Blur (σ=2),No,é,0.9215686274509803,0.8545454545454545,0.8867924528301887,0.9978609625668449,0.7966101694915254
YorubaNet,Gaussian Blur (σ=2),No,ì,0.7213114754098361,0.8,0.7586206896551724,0.990909090909091,0.6111111111111112
YorubaNet,Gaussian Blur (σ=2),No,í,0.9111111111111111,0.7454545454545455,0.82,0.9978609625668449,0.6949152542372882
YorubaNet,Gaussian Blur (σ=2),No,ò,0.8421052631578947,0.8727272727272727,0.8571428571428571,0.9951871657754011,0.75
YorubaNet,Gaussian Blur (σ=2),No,ó,0.8571428571428571,0.8727272727272727,0.8648648648648649,0.9957219251336898,0.7619047619047619
YorubaNet,Gaussian Blur (σ=2),No,ù,0.8571428571428571,0.8727272727272727,0.8648648648648649,0.9957219251336898,0.7619047619047619
YorubaNet,Gaussian Blur (σ=2),No,ú,0.7142857142857143,0.8181818181818182,0.7627118644067796,0.9903743315508021,0.6164383561643836
YorubaNet,Gaussian Blur (σ=2),No,ṣ,0.9411764705882353,0.8727272727272727,0.9056603773584906,0.9983957219251337,0.8275862068965517
YorubaNet,Gaussian Blur (σ=2),No,ẹ,0.875,0.8909090909090909,0.8828828828828829,0.9962566844919786,0.7903225806451613
YorubaNet,Gaussian Blur (σ=2),No,ọ,0.7457627118644068,0.8,0.7719298245614035,0.9919786096256684,0.6285714285714286
YorubaNet,Gaussian Blur (σ=2),Yes,a,0.75,0.7090909090909091,0.7289719626168224,0.993048128342246,0.5735294117647058
YorubaNet,Gaussian Blur (σ=2),Yes,b,0.5,0.4909090909090909,0.4954128440366973,0.9855614973262032,0.32926829268292684
YorubaNet,Gaussian Blur (σ=2),Yes,d,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.9898395721925134,0.4864864864864865
YorubaNet,Gaussian Blur (σ=2),Yes,e,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.9914438502673797,0.5492957746478874
YorubaNet,Gaussian Blur (σ=2),Yes,f,0.8245614035087719,0.8545454545454545,0.8392857142857143,0.9946524064171123,0.7230769230769231
YorubaNet,Gaussian Blur (σ=2),Yes,g,0.6739130434782609,0.5636363636363636,0.6138613861386139,0.9919786096256684,0.44285714285714284
YorubaNet,Gaussian Blur (σ=2),Yes,gb,0.7611940298507462,0.9272727272727272,0.8360655737704918,0.9914438502673797,0.7183098591549296
YorubaNet,Gaussian Blur (σ=2),Yes,h,0.676923076923077,0.8,0.7333333333333333,0.9887700534759358,0.5789473684210527
YorubaNet,Gaussian Blur (σ=2),Yes,i,0.5714285714285714,0.6545454545454545,0.6101694915254238,0.9855614973262032,0.43902439024390244
YorubaNet,Gaussian Blur (σ=2),Yes,j,0.8958333333333334,0.7818181818181819,0.8349514563106796,0.9973262032085561,0.7166666666666667
YorubaNet,Gaussian Blur (σ=2),Yes,k,0.7627118644067796,0.8181818181818182,0.7894736842105263,0.9925133689839573,0.6521739130434783
YorubaNet,Gaussian Blur (σ=2),Yes,l,0.746031746031746,0.8545454545454545,0.7966101694915254,0.9914438502673797,0.6619718309859155
YorubaNet,Gaussian Blur (σ=2),Yes,m,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.9925133689839573,0.5942028985507246
YorubaNet,Gaussian Blur (σ=2),Yes,n,0.5633802816901409,0.7272727272727273,0.6349206349206349,0.9834224598930481,0.46511627906976744
YorubaNet,Gaussian Blur (σ=2),Yes,o,0.671875,0.7818181818181819,0.7226890756302521,0.9887700534759358,0.5657894736842105
YorubaNet,Gaussian Blur (σ=2),Yes,p,0.86,0.7818181818181819,0.819047619047619,0.9962566844919786,0.6935483870967742
YorubaNet,Gaussian Blur (σ=2),Yes,r,0.7916666666666666,0.6909090909090909,0.7378640776699029,0.9946524064171123,0.5846153846153846
YorubaNet,Gaussian Blur (σ=2),Yes,s,0.8703703703703703,0.8545454545454545,0.8623853211009175,0.9962566844919786,0.7580645161290323
YorubaNet,Gaussian Blur (σ=2),Yes,t,0.676923076923077,0.8,0.7333333333333333,0.9887700534759358,0.5789473684210527
YorubaNet,Gaussian Blur (σ=2),Yes,u,0.8301886792452831,0.8,0.8148148148148148,0.9951871657754011,0.6875
YorubaNet,Gaussian Blur (σ=2),Yes,w,0.7575757575757576,0.9090909090909091,0.8264462809917356,0.9914438502673797,0.704225352112676
YorubaNet,Gaussian Blur (σ=2),Yes,y,0.7818181818181819,0.7818181818181819,0.7818181818181819,0.9935828877005347,0.6417910447761194
YorubaNet,Gaussian Blur (σ=2),Yes,à,0.9210526315789473,0.6363636363636364,0.7526881720430108,0.9983957219251337,0.603448275862069
YorubaNet,Gaussian Blur (σ=2),Yes,á,0.9166666666666666,0.8,0.8543689320388349,0.9978609625668449,0.7457627118644068
YorubaNet,Gaussian Blur (σ=2),Yes,è,0.9534883720930233,0.7454545454545455,0.8367346938775511,0.9989304812834224,0.7192982456140351
