Model,Corruption,TTA,Accuracy,Balanced_Acc,MCC,F1_macro,Precision_macro,Recall_macro,Specificity_macro,Jaccard_macro,LogLoss,Cohen_Kappa,ROC_AUC_macro,ΔAccuracy,ΔBalanced_Acc,ΔMCC,ΔF1_macro,ΔJaccard_macro,p-value (t-test),Cohen's d,95% CI lower,95% CI upper
YorubaNet,Clean,No,0.7922077922077922,0.7922077922077921,0.7862412979734716,0.7923440195781598,0.7975862475311996,0.7922077922077921,0.9938884644766999,0.6644074231853614,0.7508820506740798,0.786096256684492,0.9903737759566634,,,,,,,,,
YorubaNet,Gaussian Blur (σ=2),No,0.7932467532467532,0.7932467532467533,0.7873092636837065,0.79332224756971,0.7984397010642001,0.7932467532467533,0.9939190221543163,0.6651248248941791,0.7530623584759466,0.7871657754010695,0.9903559969442323,,,,,,,,,
YorubaNet,Gaussian Blur (σ=2),Yes,0.7641558441558441,0.764155844155844,0.7574574836397449,0.765142851042986,0.7749133930865563,0.764155844155844,0.9930634071810542,0.6271730607565217,0.8638734809306791,0.7572192513368984,0.988513091186888,,,,,,,,,
YorubaNet,Gaussian Blur (σ=2),Improvement,,,,,,,,,,,,-0.029090909090909056,-0.029090909090909278,-0.029851780043961607,-0.028179396526724076,-0.03795176413765744,1.42718353923731e-07,-0.12037404700566644,-3.989356218392996,-1.8288255997888219
YorubaNet,Salt-Pepper Noise (5%),No,0.07168831168831169,0.07168831168831169,0.049435975515956236,0.022416066052048197,0.03216248746832643,0.07168831168831169,0.9726967150496563,0.012069786479882083,7.613234021439328,0.04438502673796796,0.7121033405097578,,,,,,,,,
YorubaNet,Salt-Pepper Noise (5%),Yes,0.2212987012987013,0.2212987012987013,0.2040687734998494,0.20347260219501687,0.366139221144697,0.2212987012987013,0.9770970206264326,0.1227064714489646,4.254599299967409,0.19839572192513377,0.9153374539898603,,,,,,,,,
YorubaNet,Salt-Pepper Noise (5%),Improvement,,,,,,,,,,,,0.1496103896103896,0.1496103896103896,0.15463279798389315,0.18105653614296868,0.11063668496908252,4.516891001541685e-37,0.2961845245194873,12.70313534747103,17.218942574606892
YorubaNet,Thinning (threshold=0.3),No,0.19896103896103895,0.198961038961039,0.18024810372667427,0.16260770974515917,0.34481448282478916,0.198961038961039,0.9764400305576775,0.09589097335027161,4.568523341317938,0.1754010695187166,0.927852489756233,,,,,,,,,
YorubaNet,Thinning (threshold=0.3),Yes,0.44935064935064933,0.44935064935064933,0.43663621064423513,0.434429562388641,0.5297515467763918,0.44935064935064933,0.9838044308632545,0.3076290159526352,2.4981292094376304,0.4331550802139037,0.9615809431210499,,,,,,,,,
YorubaNet,Thinning (threshold=0.3),Improvement,,,,,,,,,,,,0.2503896103896104,0.25038961038961033,0.25638810691756087,0.2718218526434818,0.2117380426023636,2.2230099472240903e-107,0.5350776454404891,22.94723162160205,27.13069045632003
ResNet18,Clean,No,0.9792207792207792,0.9792207792207794,0.9786316466574732,0.979176599223772,0.9798476551705211,0.9792207792207794,0.9993888464476701,0.9606008168921948,0.08755678065155505,0.9786096256684492,0.9995666365719842,,,,,,,,,
ResNet18,Gaussian Blur (σ=2),No,0.9802597402597403,0.9802597402597404,0.9797006451004238,0.9802156461343785,0.9808680633337864,0.9802597402597404,0.9994194041252866,0.9626601860944212,0.08780405153824941,0.9796791443850268,0.9995749704840615,,,,,,,,,
ResNet18,Gaussian Blur (σ=2),Yes,0.9776623376623377,0.9776623376623377,0.977037646892651,0.9775735711843784,0.9785373183552506,0.9776623376623377,0.9993430099312454,0.9575808174324331,0.10454207627384485,0.9770053475935829,0.9992088339468018,,,,,,,,,
ResNet18,Gaussian Blur (σ=2),Improvement,,,,,,,,,,,,-0.0025974025974025983,-0.0025974025974027093,-0.0026629982077727155,-0.0026420749500001284,-0.005079368661988104,0.05876289826683774,-0.04310185455106347,-0.5291102793078637,0.009629759827344203
ResNet18,Salt-Pepper Noise (5%),No,0.8576623376623377,0.8576623376623377,0.8547257857193392,0.8619580658850003,0.8959191291832935,0.8576623376623377,0.9958135981665392,0.7681105417139101,0.5987653387149892,0.853475935828877,0.9967603305785124,,,,,,,,,
ResNet18,Salt-Pepper Noise (5%),Yes,0.9646753246753247,0.9646753246753247,0.9636634020054334,0.9648078528697852,0.9658410136143321,0.9646753246753247,0.998961038961039,0.9348846497447496,0.1399199145991096,0.9636363636363636,0.9991435516355304,,,,,,,,,
ResNet18,Salt-Pepper Noise (5%),Improvement,,,,,,,,,,,,0.107012987012987,0.107012987012987,0.10893761628609422,0.10284978698478486,0.16677410803083947,3.329183857885052e-42,0.3179473911309194,9.19681591091769,12.205781491679712
ResNet18,Thinning (threshold=0.3),No,0.9236363636363636,0.9236363636363637,0.9216979356739079,0.9258019417915289,0.9358781219810896,0.9236363636363637,0.9977540106951872,0.8665018832566725,0.247553126824964,0.9213903743315508,0.9990799361066741,,,,,,,,,
ResNet18,Thinning (threshold=0.3),Yes,0.9693506493506493,0.9693506493506492,0.9684833667775109,0.9693546004577818,0.9704648055509113,0.9693506493506492,0.9990985485103132,0.9423156074242306,0.12188574836149865,0.9684491978609626,0.9991213278699909,,,,,,,,,
ResNet18,Thinning (threshold=0.3),Improvement,,,,,,,,,,,,0.04571428571428571,0.045714285714285485,0.046785431103603003,0.04355265866625291,0.07581372416755805,2.7830602092503785e-15,0.1815579317296492,3.4459357981088603,5.696921344748283
